,Stablecoin_Market_Cap,ETF_Volume_Proxy,BTC_Realized_Cap,Binance_BTC_OI
2025-01-19 00:00:00,"{'peggedUSD': 211766467244, 'peggedVAR': 93006520, 'peggedEUR': 278557850, 'peggedJPY': 1726431128, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9385645, 'peggedAUD': 432702, 'peggedREAL': 3311706}",4219074806.4136505,,
2025-01-20 00:00:00,"{'peggedUSD': 212128978785, 'peggedVAR': 92834578, 'peggedEUR': 279400897, 'peggedJPY': 1726432695, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9433075, 'peggedAUD': 432702, 'peggedREAL': 3270181}",4219074806.4136505,,
2025-01-21 00:00:00,"{'peggedUSD': 212000227623, 'peggedVAR': 92577374, 'peggedEUR': 277487150, 'peggedJPY': 1726438497, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9541051, 'peggedAUD': 432702, 'peggedREAL': 3176341}",3831274377.8915405,,
2025-01-22 00:00:00,"{'peggedUSD': 214749155541, 'peggedVAR': 92364674, 'peggedEUR': 275297881, 'peggedJPY': 1726442287, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9547293, 'peggedAUD': 432702, 'peggedREAL': 3163471}",2236719942.233658,,
2025-01-23 00:00:00,"{'peggedUSD': 216005294425, 'peggedVAR': 92340360, 'peggedEUR': 275790461, 'peggedJPY': 1726441555, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 24119259, 'peggedAUD': 432702, 'peggedREAL': 3039655}",6948837012.213135,,
2025-01-24 00:00:00,"{'peggedUSD': 216771598999, 'peggedVAR': 92327918, 'peggedEUR': 275766012, 'peggedJPY': 1726444102, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 24191118, 'peggedAUD': 432702, 'peggedREAL': 3028025}",2751113345.1580048,,
2025-01-25 00:00:00,"{'peggedUSD': 217389573263, 'peggedVAR': 92309412, 'peggedEUR': 276541815, 'peggedJPY': 1724367663, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 24142205, 'peggedAUD': 432702, 'peggedREAL': 3061528}",2751113345.1580048,,
2025-01-26 00:00:00,"{'peggedUSD': 217436267904, 'peggedVAR': 92308087, 'peggedEUR': 276671499, 'peggedJPY': 1721866345, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 24133074, 'peggedAUD': 432702, 'peggedREAL': 3099919}",2751113345.1580048,,
2025-01-27 00:00:00,"{'peggedUSD': 217365485110, 'peggedVAR': 92358206, 'peggedEUR': 277377441, 'peggedJPY': 1721751719, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 24133092, 'peggedAUD': 432702, 'peggedREAL': 3111408}",3531889464.8605347,,
2025-01-28 00:00:00,"{'peggedUSD': 217624380677, 'peggedVAR': 92322022, 'peggedEUR': 277088996, 'peggedJPY': 1721754128, 'peggedCNY': 70571, 'peggedUAH': 1033043, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 24162509, 'peggedAUD': 432702, 'peggedREAL': 3030348}",1742198115.4022217,,
2025-01-29 00:00:00,"{'peggedUSD': 217996001953, 'peggedVAR': 92303185, 'peggedEUR': 280680482, 'peggedJPY': 1722153914, 'peggedCNY': 70571, 'peggedUAH': 1033043, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 24160348, 'peggedAUD': 432702, 'peggedREAL': 2913699}",2258444801.8074036,,
2025-01-30 00:00:00,"{'peggedUSD': 218218561816, 'peggedVAR': 92331162, 'peggedEUR': 280944082, 'peggedJPY': 1722141097, 'peggedCNY': 70571, 'peggedUAH': 1033043, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 24161335, 'peggedAUD': 432702, 'peggedREAL': 2888290}",1999383836.8682861,,
2025-01-31 00:00:00,"{'peggedUSD': 218908362807, 'peggedVAR': 92357349, 'peggedEUR': 290997813, 'peggedJPY': 1722541198, 'peggedCNY': 70571, 'peggedUAH': 1033043, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 24012887, 'peggedAUD': 432702, 'peggedREAL': 3112974}",2408717254.787445,,
2025-02-01 00:00:00,"{'peggedUSD': 219141425362, 'peggedVAR': 92367785, 'peggedEUR': 293924762, 'peggedJPY': 1722537550, 'peggedCNY': 70571, 'peggedUAH': 1033043, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 24005092, 'peggedAUD': 401151, 'peggedREAL': 3054834}",2408717254.787445,,
2025-02-02 00:00:00,"{'peggedUSD': 219170740325, 'peggedVAR': 92295871, 'peggedEUR': 294136758, 'peggedJPY': 1722840571, 'peggedCNY': 70571, 'peggedUAH': 1033043, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 24011743, 'peggedAUD': 401151, 'peggedREAL': 3107503}",2408717254.787445,,
2025-02-03 00:00:00,"{'peggedUSD': 219083189992, 'peggedVAR': 92224846, 'peggedEUR': 295696830, 'peggedJPY': 1720439670, 'peggedCNY': 70571, 'peggedUAH': 1024038, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 24014254, 'peggedAUD': 401151, 'peggedREAL': 3018225}",4253141077.2506714,,
2025-02-04 00:00:00,"{'peggedUSD': 219994542395, 'peggedVAR': 91922892, 'peggedEUR': 291468653, 'peggedJPY': 1719305336, 'peggedCNY': 70571, 'peggedUAH': 1010593, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1027532, 'peggedCHF': 24274693, 'peggedAUD': 401151, 'peggedREAL': 2822437}",2727788952.9079437,,
2025-02-05 00:00:00,"{'peggedUSD': 222510888614, 'peggedVAR': 91890395, 'peggedEUR': 305811902, 'peggedJPY': 1674301760, 'peggedCNY': 70571, 'peggedUAH': 1010593, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1027532, 'peggedCHF': 24268867, 'peggedAUD': 401151, 'peggedREAL': 2828477}",1366927695.236206,,
